Character,Gender,Line
Narrator,,"A bizarre incident occurred in the outskirts of an American suburb called Racoon City. It was later revealed that the terrible disaster had been caused by the T-Virus, a mutagenic toxin created by the international corporation Umbrella incorporated. The Racoon police department special STARS Unit began an immediate investigation. The case was apparently closed thanks to the efforts of STARS members Chris Redfield and Jill Valentine. But the Umbrella Corporation’s experiments were far from finished."
Leon,Male,What have we got here?
Truck Driver,,That guy's a maniac! Why’d he bite me?
Leon,Male,"Man, what a mess! What could have done this?"
Leon,Male,What are these things?
Leon,Male,"All right, that’s far enough! Don’t move!"
Leon,Male,No!
Leon,Male,What’s up with this guy that was a clean hit!
Claire,Female,"Wait, don’t shoot!"
Leon,Male,Get down!
Leon,Male,"We can’t stay out here. Get to the police station, it’ll be a lot safer."
Leon,Male,There!
Leon,Male,Let’s buckle up.
Claire,Female,What’s going on? I arrived in town and the whole place went insane...
Leon,Male,Great the radio’s out!
Claire,Female,"You’re a cop, right?"
Leon,Male,"Yeah, first day on the job. Great, huh? Name's Leon Kennedy, nice to meet you."
Claire,Female,Mine’s Claire. Claire Redfield. I came to find my brother Chris.
Leon,Male,"Hey, could you open the glove box?"
Claire,Female,Sure.
Claire,Female,There’s a gun inside.
Leon,Male,Better take it with you.
Leon,Male,No!
Claire,Female,Look out!
Leon,Male,Are you okay?
Claire,Female,Still in one piece.
Leon,Male,That maniac’s gonna ram us!
Leon,Male,Claire!
Claire,Female,Leon!
Leon,Male,I’m okay! Head to the station. I’ll meet you there.
Kendo,Male,"Freeze! Who are you, what are you doing here?"
Leon,Male,Hold your fire. I’m a human.
Kendo,Male,"Oh, sorry about that. I thought you were one of them."
Leon,Male,What’s going on in this town?
Kendo,Male,Hold on.
Kendo,Male,"I don’t know what’s going on. By the time I noticed something was wrong, the entire city was infested with zombies."
Leon,Male,Oh Man!
Marvin,Male,"Who... Who are you? Oh, you must be the new guy, Leon. Sorry, but it looks like your party has been canceled."
Leon,Male,What happened?
Marvin,Male,"About two months ago, there was this incident involving zombies in a mansion located in the outskirts of this city. Chris and the other STARS members discovered that Umbrella was behind everything. They risked their lives to reveal the truth, but no one believed them. Not long after that, all this started to happen."
Leon,Male,Hang in there!
Marvin,Male,"Don’t worry about me. Just rescue the survivors in the other rooms. Here, take this key card. You should be able to unlock the doors in the hall with this. Now go!"
Leon,Male,But...
Marvin,Male,Just go!
Leon,Male,"Fine, but I’m coming back for you. Just hold on!"
Claire,Female,Leon!
Leon,Male,Good to see you're still among the living. It looks like we’re not going to find your brother here after all.
Leon,Male,"There’s no reason for us to stay any longer than we have to. Let’s split up, look for any survivors and get out of here."
Claire,Female,Right.
Leon,Male,"One last thing, here’s a radio. Take it. That way we can keep in touch if anything happens."
Ada,Female,"Sorry, but when I saw the uniform I thought you were another zombie."
Leon,Male,Who are you?
Ada,Female,"Ada, Ada Wong."
Leon,Male,And what are you doing here?
Ada,Female,"I’m looking for a guy named Ben. He’s one of those reporter types, always looking for a scoop. I heard he was locked up in the cell block, only there’s a wrecked car barring the entrance. I’ve been trying to find another way inside. If we work together we can move this thing. Will you give me a hand?"
Leon,Male,"Ada, wait!"
Leon,Male,"Let me guess, you must be Ben right? Get up now!"
Ben,Male,What do you want; I’m trying to sleep here!
Leon,Male,Is this the guy?
Ada,Female,"Ben, you told the city officials that you knew something about what’s going on. What did you tell them?"
Ben,Male,And who the heck are you?
Ada,Female,"I’m trying to find my boyfriend, his name’s John. He was working for a branch office of Umbrella based in Chicago but he suddenly disappeared six months ago. I heard rumors he was here in the city."
Ben,Male,"I don’t know anything and even if I did, why would I want to tell you?"
Leon,Male,"Okay, I say we leave him in here. Anyone know where they put the key to this cell?"
Ben,Male,I have it right here officer. But I’m not about to leave this cell. Those zombies aren’t the only things crawling around out there.
Leon,Male,What was that?
Ben,Male,"Like I said, I’m not leaving this Cell. There’s a kennel in the back of the building. Inside the kennel is a manhole. Go through and it will lead you to the sewer entrance, but it won’t be easy."
Leon,Male,"Ada, why don’t you let me introduce myself. My name's Leon. I’m with the RPD. It’s a dead end."
Ada,Female,Do you think we can get upstairs through this shaft? Give me a boost I’ll go and check.
Ada,Female,"Leon, can you hear me?"
Leon,Male,Ada did you find anything?
Ada,Female,Right here.
Ada,Female,I can’t reach the ventilation hole. I'm going to have to find another way around. I’ll catch up with you.
Leon,Male,What? Ada... Wait!
Ben,Male,No!
Ben,Male,Get away!
Leon,Male,"Ben! Can you still hear me? Come on, answer me!"
Leon,Male,Ben?
Ben,Male,"Bitter irony. The chief of police, a co-conspirator."
Ben,Male,Get that scum. Make him pay!
Leon,Male,"Hang in there, Ben."
Ben,Male,My chest. It's burning!
Leon,Male,What’s wrong?
Ada,Female,"Good God, what was that?"
Leon,Male,We now have access to the back of the parking lot.
Leon,Male,Ada! Running off like that was reckless and stupid! Those zombies are everywhere not to mention that thing that got Ben.
Ada,Female,"I was there Leon, I know."
Leon,Male,"Look, Ada. As an officer, it’s my job to look out for you. But we’re not going to get through this alive if we don’t work together."
Ada,Female,"All right, we’ll do this your way. For now."
Leon,Male,Ada!
Ada,Female,Leon! That woman was... I have to talk to her.
Annette,Female,Don’t move. You’re the one who was with that cop if I remember correctly. Identify yourself.
Ada,Female,Ada. Ada Wong.
Annette,Female,"Ada Wong? I’ve heard that name before. Now I remember. One of the men from Chicago came to assist the T-Virus research. He used his girlfriend’s name as his password, Ada and John I believe."
Ada,Female,How did you know? Who are you?
Annette,Female,"Annette Birkin. My husband is the man responsible for the creation of the T-Virus, William Birkin."
Ada,Female,What?
Annette,Female,"John’s dead. He became one of those zombies. My condolences. And although I regret this, you will be joining him shortly. I won’t let anyone take the G-Virus away from me."
Ada,Female,G-Virus?
Annette,Female,It’s capable of creating the ultimate bio-weapon. Its potential is even greater than that of the T-Virus.
Ada,Female,That must mean the creature in the police department is...
Annette,Female,Precisely. My husband William. And it is all Umbrella's fault. None of this would have happened if they hadn’t tried to steal his research away from him.
Umbrella Soldier 1,,This way.
William,Male,"Its sheer perfection. My precious G-Virus, no one will ever take you away from me."
Umbrella Soldier 1,,There he is.
William,Male,"So, you’ve finally come."
Umbrella Soldier 2,,"Doctor, we’re here to collect the G-Virus sample."
William,Male,"Sorry, but I won’t just hand over my life’s work."
Umbrella Soldier 1,,Stop it! You might hit the sample.
Umbrella Soldier 2,,"That’s it, all right. Okay, let’s move out."
Annette,Female,"William... Oh, my... Hold on, darling. I’m taking care of that bullet wound first. Stay here."
Umbrella Soldier 1,,"Alpha Team, have you retrieved the sample yet?"
Alpha Team Leader,,Affirmative. Meeting at the rendezvous point in one minute.
Umbrella Soldier 1,,Roger.
Ada,Female,Are you telling me that he injected the G-virus into his own body?
Annette,Female,The G-Virus has the ability to revitalize cellular functions.
Umbrella Soldier 1,,What was that?
Umbrella Soldier 1,,"Something’s wrong, let’s check it out. Over there!"
Umbrella Soldier 2,,I’m stopping it!
Umbrella Soldier 1,,What is this thing?
Umbrella Soldier 2,,No!
Umbrella Soldier 1,,Hurry!
Umbrella Soldier 1,,What is this thing?
Umbrella Soldier 1,,Fire...Fire!
Umbrella Soldier 1,,You Sun of a...!
Ada,Female,So those rats were the carriers of the virus?
Annette,Female,"as a result of his transformation, William should have lost any prior memories he had as a human by now. Even worse, every G-Virus bio-weapon including William has the ability to implant embryos into other creatures."
Ada,Female,And create offspring... No...
Ada,Female,Too bad.
Leon,Male,Ada?
Leon,Male,Ada!
Ada,Female,Leon.
Leon,Male,This bullet wound isn’t making things any easier.
Ada,Female,"Quiet, Leon. I’ll patch you up."
Ada,Female,That’s two I owe you.
Leon,Male,Don’t mention it.
Ada,Female,I just found out. John’s dead.
Leon,Male,What?
Ada,Female,"Never mind. Let’s get out of here, The sooner the better."
Leon,Male,"Ada! Ada... Can you hear me, come on snap out of it."
Leon,Male,"Don’t die on me, Ada. Come on, wake up! Come on!"
Leon,Male,Welcome back.
Leon,Male,"Hey, take it easy. We’re inside Umbrella’s secret lab. I’ll go find something to treat that wound. So just rest here in the meantime."
Ada,Female,But I’ll only slow you down with these injuries. Go and save yourself.
Leon,Male,I told you it’s my job to look out for you.
Ada,Female,"But... You’ll be in danger if you stay with me. I know I’ve only known you for a short period of time, but I really enjoy being with you."
Leon,Male,I’m...
Ada,Female,"I know. I’m not capable of caring about anyone, but... I don’t want to lose you."
Leon,Male,"We’re leaving this place together. Wait here, I’ll be right back."
Annette,Female,"You! You murdered my husband! I know what you’re looking for! You came for the G-Virus didn’t you! You won’t take it from me! This is my husband’s legacy! Now, where’s that spy you were working with earlier, you know who I’m talking about."
Leon,Male,What?
Annette,Female,You really don’t know anything do you! You’re so gullible! She’s one of the operatives sent here by the agency. The only reason why she came here was to obtain the G-Virus.
Leon,Male,That’s a lie.
Annette,Female,"No, it’s the truth. I discovered this when I did a background check on her. She specifically got close to John and became his girlfriend to get information about Umbrella."
Leon,Male,That can’t be! I know her. Ada wouldn’t do something like that!
Annette,Female,"If you don’t want to believe me I don’t care, you're about to die anyway."
Annette,Female,What happened?
Computer,,"The self destruct sequence has been activated! Repeat, the self destruct sequence has been activated! This sequence may not be aborted! All employees proceed to the emergency car at the bottom platform!"
Ada,Female,Leon!
Ada,Female,I’ve been waiting for you Leon.
Leon,Male,What are you doing?
Ada,Female,"You know what this is about, so just hand over the G-Virus!"
Leon,Male,I don’t believe this. Annette was right...about everything.
Ada,Female,"That’s why I told you to leave without me, but you wouldn’t listen! Now, hand it over. Don’t make me shoot you!"
Leon,Male,You can’t do that.
Leon,Male,"Ada... Ada, I’ve got you... Don’t give up."
Annette,Female,G-Virus... G-Virus...
Ada,Female,It's over. Let me go.
Leon,Male,Shut up! You’re gonna make it!
Ada,Female,It’s too late Leon. We both know it.
Leon,Male,No! I promised you we would escape. You just have to help me out here!
Ada,Female,I really wanted to escape with you... Escape from everything... Goodbye.
Leon,Male,Ada!
Leon,Male,No.
Leon,Male,So...This is what everyone’s been dying for.
Claire,Female,Leon... Hurry up! Leon!
Sherry,Female,Leon!
Leon,Male,Stay down!
Claire,Female,Are you okay?
Sherry,Female,"Yes, I’m fine."
Leon,Male,It’s finally over.
Claire,Female,No. I have to find my brother.
Leon,Male,You’re right. This is just the beginning.
Leon,Male,"Goodbye, Ada."
Narrator,,"In the midst of the T-Virus outbreak in Raccoon City, Leon Kennedy succeeded in escaping from the city following his encounter with one of the only other survivors, a woman named Ada, a spy seeking the deadly G-Virus. However..."
Leon,Male,Ada!
Narrator,,"Leon was not the sole survivor of the incident. A girl named Claire Redfield was in town on business of her own. She came to uncover the mysterious circumstances of her brother's disappearance, Chris Redfield, a member of the STARS Alpha Team. Only now, her mission has become quite simple. Basic survival within the nightmare that was once Raccoon City."
Claire,Female,I'm finally here.
Truck Driver,,That guy's a maniac! Why’d he bite me?
Claire,Female,Hello? Is anyone here? Hello.
Claire,Female,Uh... hello?
Claire,Female,"Look, I'm sorry I bothered you okay? Just don't come any closer!"
Claire,Female,Are you listening!?
Claire,Female,"Wait, don’t shoot!"
Leon,Male,Get down!
Leon,Male,"We can’t stay out here. Get to the police station, it’ll be a lot safer."
Leon,Male,There!
Leon,Male,Let’s buckle up.
Claire,Female,What’s going on? I arrived in town and the whole place went insane...
Leon,Male,Great the radio’s out!
Claire,Female,"You’re a cop, right?"
Leon,Male,"Yeah, first day on the job. Great, huh? Name's Leon Kennedy. Nice to meet you."
Claire,Female,Mine’s Claire. Claire Redfield. I came to find my brother Chris.
Leon,Male,"Hey, could you open the glove box?"
Claire,Female,Sure.
Claire,Female,There’s a gun inside.
Leon,Male,Better take it with you.
Leon,Male,No!
Claire,Female,Look out!
Leon,Male,Are you okay?
Claire,Female,Still in one piece.
Leon,Male,That maniac’s gonna ram us!
Leon,Male,Claire!
Claire,Female,Leon!
Leon,Male,I’m okay! Head to the station. I'll meet you there.
Cop,,"Hey! Get over here, hurry!"
Pilot,,I can't set her down! I'll drop you a rope ladder!
Cop,,"Come on, just a little more!"
Cop,,Get off me!
Cop,,"Stay back, don't come any closer!"
Cop,,Stay back!
Claire,Female,Leon!
Leon,Male,Good to see you're still among the living. It looks like we’re not going to find your brother here after all.
Leon,Male,"There’s no reason for us to stay any longer than we have to. Let’s split up, look for any survivors and get out of here."
Claire,Female,Right.
Leon,Male,"One last thing, here’s a radio. Take it. That way we can keep in touch if anything happens."
Sherry,Female,Help me!
Irons,Male,"Oh, I'm terribly sorry. I thought you were another one of those zombies."
Claire,Female,Are you Chief Irons?
Irons,Male,"Yes, that's me. And just who are you? No, don't bother telling me. It makes no difference. You'll end up just like all the others."
Irons,Male,"That's the Mayor's daughter. I was told to look after her, but I failed. Miserably. Just look at her. She was a true beauty. Her skin, nothing short of perfection."
Irons,Male,"But, it will soon putrefy and she will turn into a zombie within the hour like all the others!"
Claire,Female,There must be some way to stop it!
Irons,Male,"In a manner of speaking there is. Either by putting a bullet through her brain, or by decapitating her completely."
Irons,Male,And to think that taxidermy used to be my hobby.
Irons,Male,"But no longer! Please, I'd really like to be alone now."
Claire,Female,Wait!
Sherry,Female,Let me go!
Claire,Female,"Easy, easy there. I'm not a zombie! You're safe now."
Claire,Female,My name's Claire. What's yours?
Sherry,Female,Sherry.
Claire,Female,Do you know where your parents are?
Sherry,Female,"They both work at the Umbrella Chemical Plant, near the city limits."
Claire,Female,The chemical plant? Then what are you doing here?
Sherry,Female,My mom called and told me to go to the police station because it was too dangerous to stay at home.
Claire,Female,"By the look of things I'd say she was probably right, but it's dangerous here as well. You're better off coming with me."
Sherry,Female,"But there's something out there. I don't know what it is, but I saw it! Much larger than any of those zombies and it's coming after me!"
Claire,Female,What was that?
Sherry,Female,"That's what I was telling you about, it's here!"
Claire,Female,"Sherry, wait!"
Claire,Female,"Sherry! I've been looking everywhere for you, I was so worried. We've got to go now honey, okay? If we stay here that monster will find us. Let's go."
Sherry,Female,No! I won't!
Claire,Female,What's the matter? Don't you trust me?
Sherry,Female,"It's not that, Claire. It's because of my daddy. He's over there,  I heard him call my name. Daddy must have been attacked by the monsters, I have to help him!"
Claire,Female,"Wait, Sherry! Don't go alone! Sherry! Sherry!"
Sherry,Female,Claire? Are you there?
Claire,Female,"Sherry, are you okay? Did you find your dad?"
Sherry,Female,"Yes, I'm okay but I couldn't find him, but I did find something else for you. Here."
Claire,Female,"Thanks, sweetie. Now, why don't you come over here? I want you to stay with me."
Sherry,Female,"Claire, I can't reach the ventilation hole any more, but don't worry, I'll find another way. I can take care of myself."
Claire,Female,"Wait, Sherry. Come back! Sherry! Sherry!"
Leon,Male,"Do you read me, Claire? We now have access to the back of the parking lot."
Claire,Female,Got it.
Leon,Male,I'm getting out of here and heading to the sewer. Can you meet me there?
Claire,Female,I'm on my way.
Claire,Female,Sherry! You're okay!
Sherry,Female,"I'm glad to see you're safe, Claire."
