Character,Gender,Playable,Line
Soldier,,Non-Playable,Move! Move!
DeChant,Male,Non-Playable,Captain DeChant here. We've secured the underground route to the coordinates.
Sheva,Female,Playable,Welcome to Africa. My name is Sheva Alomar.
Chris,Male,Playable,Chris Redfield.
Sheva,Female,Playable,"Your reputation proceeds you, Mr. Redfield. It's an honor."
Chris,Male,Playable,"Just Chris, thanks. So will you be accompanying me to the destination?"
Sheva,Female,Playable,Yes. Tensions are running high ever since the change in government.
Chris,Male,Playable,I'll bet. Intel says it's a haven for terrorists now.
Sheva,Female,Playable,"And they're not going to be happy to see an American, BSAA or not. That's why I'm your partner; help put them at ease."
Chris,Male,Playable,I'm sure you'll do just fine.
Sheva,Female,Playable,You okay?
Chris,Male,Playable,"Yeah, sorry...It's nothing. Let's go."
Guard,,Non-Playable,Hey! Hey! [Speaks African language]
Sheva,Female,Playable,You don't have to get touchy!
Chris,Male,Playable,"Chris here. Coming in, loud and clear, Kirk."
Sheva,Female,Playable,"Yes, we read you."
Kirk,Male,Non-Playable,There's a black market weapons deal going down in Kijuju. That's where Irving will be. Alpha Team has already infiltrated the area and you will be going in as backup. Rendezvous with your contact at the butcher's shop. You can gear up and get briefed on the mission there. Watch your backs!
Chris,Male,Playable,Roger that.
Sheva,Female,Playable,Copy. OVer and out.
Fisher,Male,Non-Playable,Good. You're both here. Come.
Fisher,Male,Non-Playable,"You two. This way. It may be because of the new government, but people around here are a little on edge. You should do what you came to do and go home."
Chris,Male,Playable,"Yeah, they really roll out the red carpet for us Americans."
Fisher,Male,Non-Playable,I have your weapons for you here. Check them.
Fisher,Male,Non-Playable,Grab your weapons. The operation's already started.
Sheva,Female,Playable,Destination coordinates?
Fisher,Male,Non-Playable,"Town square up ahead. Go through there, Alpha Team's waiting at the deal location."
Sheva,Female,Playable,Good.
Fisher,Male,Non-Playable,What do you know about Uroboros?
Chris,Male,Playable,Mostly just rumors...something about a doomsday project.
Fisher,Male,Non-Playable,"Doomsday sounds about right, and apparently it is no rumor."
Sheva,Female,Playable,"You're kidding, right?"
Fisher,Male,Non-Playable,"You must find a man named Irving, he's our only lead."
Fisher,Male,Non-Playable,And be careful out there.
Chris,Male,Playable,"Remember, we're a team. Whatever happens, we stick together."
Sheva,Female,Playable,"Don't worry, I may not be as big as you, but I can still hold my own."
Chris,Male,Playable,Freeze!
Chris,Male,Playable,Are you okay?
Sheva,Female,Playable,What the hell just happened?
Chris,Male,Playable,They didn't act like any zombies I've ever seen.
Chris,Male,Playable,"Kirk, come in. The locals were hostile and we had to use force. We don't have any contingency plans for this situation, do we, Kirk?"
Kirk,Male,Non-Playable,Roger on the locals. But your orders still stand.
Sheva,Female,Playable,What does that mean? Was HG expecting this?
Fisher,Male,Non-Playable,You don't know what you're talking about! You can all go to hell!
Sheva,Female,Playable,Wait a minute! That's the--
Chris,Male,Playable,"Kirk! Come in! The locals are hostile! The gate is sealed, and we're trapped. We need backup, and we need it right now!"
Kirk,Male,Non-Playable,Roger that. Just sit tight. I'm on my way!
Chris,Male,Playable,You here that Sheva? Help is on the way!
Sheva,Female,Playable,Got it! I just hope he gets here quick!
Sheva,Female,Playable,There's just no end to them!
Chris,Male,Playable,We have to hold out until Kirk gets here.
Kirk,Male,Non-Playable,"Chris, Sheva. How you holding up? I'll be there shortly, just hang in there!"
Kirk,Male,Non-Playable,Sorry to keep you waiting. I'm going to take out the door. Find some cover!
Kirk,Male,Non-Playable,Take cover!
Chris,Male,Playable,"Kirk, we owe you one."
Chris,Male,Playable,Roger that.
Kirk,Male,Non-Playable,I'm going up ahead. We'll meet up there. Good luck!
Kirk,Male,Non-Playable,"Captain, what is your status? Can you see the enemy?"
DeChant,Male,Non-Playable,"No, no! Wait! God damn monster! (shouts in pain)"
Sheva,Female,Playable,"Alpha Team, come in! Alpha Team!"
Chris,Male,Playable,DeChant! Do you copy!? DeChant!
Allyson,Female,Non-Playable,Help! Somebody help me!
Allyson,Female,Non-Playable,Help!
Chris,Male,Playable,"Hey, what's wrong? (to SHEVA) Be careful. They may still be here."
Chris,Male,Playable,Are you okay?
Sheva,Female,Playable,Chris!
Kirk,Male,Non-Playable,"Mathison to HQ. We've lost contact with Alpha Team. They're under attack by an unidentified hostile! Reinforcements, heat toward the deal coordinates immediately!"
Sheva,Female,Playable,SHEVA here. Roger that!
Chris,Male,Playable,Move out!
Chris,Male,Playable,What the hell happened in here?
Chris,Male,Playable,"Hey, who did this?"
DeChant,Male,Non-Playable,Something attacked us...Irving...He got away...It was a setup...
Chris,Male,Playable,A setup...!?
Chris,Male,Playable,What is this?
DeChant,Male,Non-Playable,It's data regarding the deal...I downloaded it from their computer... You got to get it to HQ...
Chris,Male,Playable,"Hey...hey, hang in there!"
Sheva,Female,Playable,"I saw someone, but they ran away..."
Kirk,Male,Non-Playable,Roger. Relay the data from the vehicle at the storage facility.
Chris,Male,Playable,Copy that.
Sheva,Female,Playable,What the hell is it?
Chris,Male,Playable,I think that's what got Alpha Team!
Chris,Male,Playable,I got it.
Sheva,Female,Playable,What was that thing?
Chris,Male,Playable,A B.O.W. that scum bag Irving lift behind to set us up. (typing on the laptop) Considering what it did to Alpha Team...I think we're lucky to still be breathing.
Sheva,Female,Playable,If only we could have gotten there sooner.
Chris,Male,Playable,"If we had, we'd probably be dead too. (into radio) Chris to HQ, do you copy?"
