Character,Gender,Playable,Line
Mia,Female,Non-Playable,"Hey baby! I just wanted to send a quick hello and I love you. I'm gonna be coming home soon! Yay! I cannot wait to be done with this babysitting job... and come home to my loving husband. I miss you. I gotta get back to work. I love you, Ethan. I miss you so much. I'm sending tons of kisses. Bye baby!"
Mia,Female,Non-Playable,"Ethan… You were right. I did lie to you. I shouldn't have, but... All I can say is that if you get this... Stay away."
Ethan,Male,Playable,"Hey, it's, uh… it's Ethan."
Ethan,Male,Playable,"Yeah, yeah. No, I'm good, I'm good. It's Mia. She's not dead, she's alive. She's back."
Ethan,Male,Playable,"I don't know. I don't know how, but she's back, she's back somehow. Maybe it's a prank. She wants me to come and get her."
Ethan,Male,Playable,"Dulvey. Dulvey, Louisiana."
Ethan,Male,Playable,"I know, I know. But what if it is her? I have to find out what happened."
Ethan,Male,Playable,This is the place.
Ethan,Male,Playable,Damn!
Pete,Male,Non-Playable,Boo! Where did you find this guy?
Andre,Male,Non-Playable,"Give me a break, Pete."
Pete,Male,Non-Playable,"Hey! I only work with professionals. Speaking of which, make sure the sound is right this time. I don't want a repeat of Amarillo."
Andre,Male,Non-Playable,That was two fucking years ago.
Pete,Male,Non-Playable,I don't do ADR. This new guy? I'm not feeling it.
Andre,Male,Non-Playable,Again?
Pete,Male,Non-Playable,"Just don't be surprised if we have to make change. New plan. We do a walkthrough of the inside first, shoot the intro."
Andre,Male,Non-Playable,"Just like we always do. Just try to say the show's name this time, OK?"
Pete,Male,Non-Playable,"No problem. “Tonight on Sewer Gators, another worthless fucking shithole.” Happy?"
Andre,Male,Non-Playable,Ecstatic.
Pete,Male,Non-Playable,"Are we rolling? Alright, let's go."
Andre,Male,Non-Playable,Get outta the way.
Pete,Male,Non-Playable,It's locked.
Andre,Male,Non-Playable,"After you. So, why are we in hell this time? Do you ever prep?"
Pete,Male,Non-Playable,"What's to prep? Shitty house. Spooky sounds. Ooh, is it haunted? Fuck me. I was an anchor, you know."
Andre,Male,Non-Playable,"Weekend sub, Pete. Not anchor."
Pete,Male,Non-Playable,What's that?
Andre,Male,Non-Playable,Nothing.
Pete,Male,Non-Playable,"What's the story, Andre?"
Andre,Male,Non-Playable,Abandoned farm house. Missing family. The usual.
Pete,Male,Non-Playable,How long did you say this place had been abandoned?
Andre,Male,Non-Playable,Three years.
Pete,Male,Non-Playable,"Clancy, get a shot of this. This'd make a great cutaway. So, uh, Hillbilly Joe and his family go missing..."
Andre,Male,Non-Playable,"Not hillbillies. The Bakers. Jack and Marguerite Baker. And they were quiet, not backward. Lot of bad rumors about their son, Lucas. Bad seed, apparently."
Pete,Male,Non-Playable,"Ah, shit! I knew I shouldn't have worn my good shoes. Oh, shit. Glad I had my shots. Although, this'd make a great backdrop. Andre, what do you think? Andre. Andre! Clancy, you see where Andre went? Where is he? Un-fucking-believable. This is the last time I work with that guy. I mean producers, they come and go, but a good cameraman like you, Clancy? You stick with me."
Pete,Male,Non-Playable,"What the fuck was that? Did you hear that? Andre? Where the fuck is he? Andre, where are you, man?"
Pete,Male,Non-Playable,"What the hell? You gotta be fucking kidding me. Alright, new deal. W-We find Andre and we go. I mean, fuck this show."
Pete,Male,Non-Playable,"You first. Need a nice hero shot of me coming down the ladder. So, uh, you first."
Pete,Male,Non-Playable,What do you see? What is it?
Ethan,Male,Playable,Looks like the owners.
Ethan,Male,Playable,Mia! Thank god I found you. It's me. It's Ethan!
Mia,Female,Non-Playable,Ethan? Ethan!
Ethan,Male,Playable,Are you alright?
Mia,Female,Non-Playable,You shouldn't be here.
Ethan,Male,Playable,What do you mean? You contacted me.
Mia,Female,Non-Playable,"No, no, I wouldn't. Did I? Did anyone see you? Did he see you?"
Ethan,Male,Playable,He? Who else is here? What's going on?
Mia,Female,Non-Playable,Daddy's coming. We need to go.
Ethan,Male,Playable,Daddy?
Mia,Female,Non-Playable,We need to go… now!
Ethan,Male,Playable,Where are you taking me?
Mia,Female,Non-Playable,Someplace safe.
Ethan,Male,Playable,Are you gonna tell me what's going on? You've been gone for three years.
Mia,Female,Non-Playable,Three years? Has it really been three years?
Ethan,Male,Playable,What is this place? What did they do to you?
Mia,Female,Non-Playable,Not now. We need to get out of here first. I think it's this way.
Ethan,Male,Playable,"Mia, we have to talk. That message you sent me..."
Mia,Female,Non-Playable,Not me. That wasn't me!
Ethan,Male,Playable,But you did!
Mia,Female,Non-Playable,I didn’t!
Ethan,Male,Playable,"OK, fine. Just tell me what's going on."
Mia,Female,Non-Playable,I am telling you everything that I know. We have to go this way.
Ethan,Male,Playable,"Mia, are you sure you know where you're going?"
Mia,Female,Non-Playable,The family used to bring me food through here. I remember. There. It's there! I remember this room. This is it. There's another door here. I'm sure of it. It's not here. It's gone. It's gone! We're going to be a family… now that you're here. There's another door here. I'm sure of it.
Ethan,Male,Playable,Mia…
Mia,Female,Non-Playable,We got to get out of here.
Ethan,Male,Playable,"Just stay here, alright? I'm gonna have a look around."
Mia,Female,Non-Playable,Leave me alone!
