Character,Gender,Line
Helicopter Loudspeaker,,You need to disperse immediately!
Witness,,"He was knocked unconscious, he had severe lacerations all over his face—"
Government Official,,The CDC has quarantined the lower mid-western region of the USA—
Jill,Female,Fucking hell… Gets worse every night... (looking at marked calendar) Three more days. Then I can kiss this town goodbye.
Jill,Female,Who could that be? Hello?
Brad,Male,Jill! A-Are you OK?
Jill,Female,Brad? Is that you?
Brad,Male,Listen! You gotta get out of there!
Jill,Female,What are you talking about?
Brad,Male,I don't have time to explain. You gotta get out of there RIGHT NOW!
Jill,Female,Alright. Let me grab my—
Jill,Female,What the hell is that thing!? Gotta get outta here. What the hell!? No way!
Jill,Female,OK.
Jill,Female,What the fuck!?
Brad,Male,Jill! Over here!
Jill,Female,Brad!
Brad,Male,You OK?
Jill,Female,What was that thing?
Brad,Male,"Damned if I know. But right now, it's got a hard-on for the only two S.T.A.R.S. left in town: you and me. I'm not stickin' around. Just look around you. The longer we wait, the more screwed we are."
Jill,Female,How did this all happen so fast?
Brad,Male,I dunno. But one fucked-up thing always leads to another. It's like Arklay on steroids.
Brad,Male,"Hey! Hey, wait! Down here! Ah, god dammit..."
Jill,Female,We've gotta be dreaming. How could this many people be infected?
Jill,Female,Brad! Here they come!
Brad,Male,In here!
Jill,Female,There's so many...
Brad,Male,Door behind you! Go!
Jill,Female,Brad!
Jill,Female,Don't think about it. We're gonna make a run for it!
Brad,Male,"C'mon, Jill. We know how this ends."
Jill,Female,No. I don't.
Brad,Male,Are we still a team?
Jill,Female,Always.
Brad,Male,Then do me a favor and don't fuck up like I did. Go!
Jill,Female,"I'm sorry, Brad…"
Jill,Female,Sorry.
Helicopter Loudspeaker,,You down there! Get to the parking garage roof!
Jill,Female,Parking garage. Got it.
Jill,Female,"Sir, are you alright?"
Dario,Male,Stay back! Don't come any closer!
Jill,Female,"Hey, come on. There's a helicopter waiting to take you to safety."
Dario,Male,What safety? I'm not going out there!
Jill,Female,The parking garage isn't far. I can take you there.
Dario,Male,The only safe place is in here!
Jill,Female,"Sir, what's your name? I can't just leave you behind."
Dario,Male,"It's Dario Rosso. And yeah, right. You just want to steal my safehouse! Get your own, missy!"
Jill,Female,“Missy”? Would you please calm down? I'm a police officer. I'm here to help.
Dario,Male,"Oh, yeah, you've been doing-a-bang-up job. You wanna help? Go handcuff yourself to one of those freaks."
Jill,Female,"Sir, this is your last chance. No one else is coming-for-you."
Dario,Male,I'm not going anywhere! I'd rather starve to death in here than be eaten by one of those undead-monsters! Now leave me alone!
Jill,Female,Shit!
Jill,Female,Come on.
Jill,Female,Hey! Down here!
Helicopter Loudspeaker,,"Hey, get in!"
Jill,Female,"(throwing a dead man out of his car) Sorry… Oh, come on. Start, dammit!"
Jill,Female,"It's my turn, bitch!"
Carlos,Male,"Hey, fuckface."
Carlos,Male,"Hey, easy lady… I got ya."
Jill,Female,Who are you? What are you do—
Carlos,Male,"Name's Carlos and I'm saving you! C'mon, let's get you someplace safe."
Carlos,Male,I think we're in the clear.
Jill,Female,Hope so.
Carlos,Male,We've been bringing survivors here.
Jill,Female,Here where?
Carlos,Male,My guys have converted some subway cars into a shelter. It's safe.
Jill,Female,I’m fine.
