Character,Gender,Playable,Line
Leon,Male,Playable,"C'mon, it's not over yet."
Leon,Male,Playable,"Hang in there, Helena."
Helena,Female,Playable,I'll only slow you down. Just go.
Leon,Male,Playable,You're not gettin' off that easy. Come on.
Leon,Male,Playable,"After all we've been through, it'd be a waste to give up now."
Leon,Male,Playable,Let's try this way.
Leon,Male,Playable,We're almost through this.
Leon,Male,Playable,Let's take a break.
Leon,Male,Playable,There's gotta be a first aid kit in here somewhere.
Leon,Male,Playable,Makes me sick seein' good soldiers die like this.
Hunnigan,Female,Non-Playable,Leon! Are you there?
Leon,Male,Playable,Hunnigan!
Hunnigan,Female,Non-Playable,Good to hear you're OK. Where's Helena?
Leon,Male,Playable,She's not doin' too good. She needs medical attention.
Hunnigan,Female,Non-Playable,Do you have any herbs left?
Leon,Male,Playable,A few. But I'm not sure they'll help.
Hunnigan,Female,Non-Playable,"Okay, listen. Just follow my instructions."
Leon,Male,Playable,"Hold on, Helena."
Leon,Male,Playable,Too many good agents have died here today... You're not getting added to that list.
Helena,Female,Playable,Leon...
Leon,Male,Playable,Can't let your guard down for a second.
Leon,Male,Playable,How do you feel...?
Helena,Female,Playable,I think I'm gonna be OK... Thank you.
Hunnigan,Female,Non-Playable,"Leon, what are you doing? You need to get out of there. Now."
Leon,Male,Playable,We're heading to the Quad Tower.
Hunnigan,Female,Non-Playable,"What...!? No, it's too dangerous."
Leon,Male,Playable,There are BSAA agents there with survivors. I can't abandon them.
Hunnigan,Female,Non-Playable,...All right... Then let me help. I'll direct you through the safest route.
Leon,Male,Playable,"Thanks, Hunnigan..."
Hunnigan,Female,Non-Playable,I've sent over the Field Guide to your PDA. You can always refer to that in a pinch.
Leon,Male,Playable,What the hello!
leon,,Non-Playable,Hunnigan! can we make it to the tower this way?
Hunnigan,Female,Non-Playable,Yes. Just keep moving in that direction.
Leon,Male,Playable,They're comin' out of woodwork!
Helena,Female,Playable,"Leon, look!"
Leon,Male,Playable,Run!
BSAA Soldier,,Non-Playable,Over here! Get in!
Leon,Male,Playable,Shit!
Leon,Male,Playable,What the...!?
Leon,Male,Playable,Shit...!
Leon,Male,Playable,Damn it! I can't bring her up...! Come on!
Helena,Female,Playable,Pull up!
Leon,Male,Playable,"C'mon, c'mon. Pull up!"
Helena,Female,Playable,This thing isn't gonna hold up much longer!
Leon,Male,Playable,Just a few more blocks!
Leon,Male,Playable,Helena!
Leon,Male,Playable,Hold on!
Leon,Male,Playable,You all right!?
Helena,Female,Playable,Yeah.
Leon,Male,Playable,Back for more?
Leon,Male,Playable,Adam... I'm sorry...
Leon,Male,Playable,So what's so special about this church? You have some sins to confess?
Helena,Female,Playable,It's hard to explain. If I don't tell you at the cathedral...you may not believe me.
Leon,Male,Playable,You're gonna tell me everything once we get to the cathedral. Deal?
Helena,Female,Playable,Deal.
Leon,Male,Playable,"You see one of them, aim for the head. It's your best bet."
Helena,Female,Playable,Got it.
Leon,Male,Playable,This was where the reception was gonna be. They'd all be eating right now if...
Helena,Female,Playable,...You think anyone survived?
Leon,Male,Playable,I hope so.
Leon,Male,Playable,I can't believe this is happening again. It's just like Raccoon.
Helena,Female,Playable,The Raccoon City incident. You were one of the survivors.
Leon,Male,Playable,Yeah... I'll never forget it. We're going to this cathedral of yours- but if you really did have a hand in this... You can kiss your freedom goodbye.
Helena,Female,Playable,I know.
Helena,Female,Playable,What was that?
Leon,Male,Playable,Only one way to find out... Let's go!
Leon,Male,Playable,In the back!
Liz's father,Male,Non-Playable,Wait! Don't shoot!
Leon,Male,Playable,Are you all right?
Liz's father,Male,Non-Playable,The fogt...
Helena,Female,Playable,What?
Helena,Female,Playable,What?
Liz's father,Male,Non-Playable,Liz!
Leon,Male,Playable,Wait!
Liz's father,Male,Non-Playable,Let me go!
Leon,Male,Playable,It's too dangerous!
Liz's father,Male,Non-Playable,My daughter! She's all alone! If we don't do something...
Leon,Male,Playable,"All right, I get it. But if you don't keep it down, you won't live to save her. You understand?"
Liz's father,Male,Non-Playable,Liz...
Leon,Male,Playable,"Is that your daughter? All right, let's find her."
Helena,Female,Playable,"Leon, we don't have time to-"
Leon,Male,Playable,We're making the time.
Liz's father,Male,Non-Playable,Liz... Where are you?
Helena,Female,Playable,What was that sound?
Leon,Male,Playable,They're scared...
Helena,Female,Playable,Who turned the lights off?
Leon,Male,Playable,Stay sharp.
Leon,Male,Playable,That's quite a draft!
Liz's father,Male,Non-Playable,We need to find her.
Leon,Male,Playable,We will. Just stay close.
Liz's father,Male,Non-Playable,Thank you...
Liz's father,Male,Non-Playable,"Liz? Liz! Please answer. It's your daddy, Liz!"
Leon,Male,Playable,Wonder how much time we have before these corpses are on their feet...
Leon,Male,Playable,You all right?
Liz's father,Male,Non-Playable,"I will be once I find my daughter. I called her cell, but we got cut off. I know she's here...somewhere."
Leon,Male,Playable,We'll need to get the elevator working again.
Liz's father,Male,Non-Playable,"It's locked but I work here. I've got the keys. Once we're in, we can take my car."
Leon,Male,Playable,"Thanks. Now, let's find Liz and get the hell outta here."
