Character,Gender,Line
Monk,,"Sumergida en el agua purificadora, envuelta en inmaculado y que aquí te ofrecemos. Oh, señor, que la luz de tu gloria la ilumine hacia tu paraíso. Acepta este cordero, muestra tu poder y acógenos en el paraíso, en tu seno inmaculado. ¡Oh, señor!"
Leon,Male,"(offscreen) September 30, 1998… It's a day I'll never forget. The cop inside me died that day. And that night, Raccoon City was wiped out. Thanks to the bioweapons created by Umbrella. Somehow, I made it out. But too many others...weren't so lucky. I was asked later to join a top-secret government program. Not that I had a choice. The training, the punishing missions nearly killed me. But at least they kept my mind off everything. If I could just forget what happened that night, the pain—even for a second. This time, it can be different. It has to."
Old Policeman,,"So, tell me, Yanqui (Yankee)… why did you come to this horrible place? As close to nowhere that I've ever seen? (laughs)"
Leon,Male,Let's just say—looking for someone.
Old Policeman,,"That someone must be very important, eh? The chief gave the orders himself. Help him, he said."
Leon,Male,"Well, I'm sure you boys didn't come all the way out here to roast marshmallows. (Old Policeman laughs) ...Or maybe you did."
Old Policeman,,You have a strange sense of humor. I'm gonna let you in on a little secret. Just between us. A lot of people have gone missing around here. And it's been that way for a while now.
Leon,Male,"Well, then...should be just another day in the office, right?"
Old Policeman,,"I mean, last week there was a search for some missing hikers. (laughs)"
Leon,Male,I'm sure you'll do your best to help me…
Young Policeman,,I think this is it.
Old Policeman,,"Nature calls, eh? I'll be right back."
Old Policeman,,(In Spanish) Freezing out here.
Young Policeman,,(In Spanish) You drink the whole bar?
Old Policeman,,Tssshhr.
Young Policeman,,You smoke?
Old Policeman,,(In Spanish) This is one hell of a gloomy place.
Old Policeman,,(In Spanish) Hey? Anyone there?
Young Policeman,,He sure is taking his time. Did he fall in? Maybe you better go and take a look?
Young Policeman,,I'll watch the car. Wouldn't want to get a parking ticket.
Leon,Male,So much for helping me.
Leon,Male,How far could he have gone?
Leon,Male,Anyone home?
Leon,Male,"Uh, sorry to barge in like this. (In Spanish) I'm looking for a police officer. Did he come this way?"
Leon,Male,This is not good…
Leon,Male,"Man, that stinks."
Leon,Male,I read you! What's your situation!?
Leon,Male,The hell is going on?
Leon,Male,What was that?
Leon,Male,No fucking way!
Leon,Male,This just keeps getting worse…
Leon,Male,"Roost, this is Condor One."
Hunnigan,Female,Hunnigan here. What's your sitrep?
Leon,Male,The president's daughter—Baby Eagle. It's likely she's in this village.
Hunnigan,Female,"Our intel was correct, then. Well done."
Leon,Male,Need a location on a nearby lake. She may have been taken there.
Hunnigan,Female,Copy that. I'll see what I can find.
Leon,Male,Hurry up. Something's happened to the people here. My escorts are—
Leon,Male,Gotta go. Talk later.
Leon,Male,I'll let myself out!
Leon,Male,Holy shit…
Leon,Male,Here we go.
Leon,Male,You gotta be kidding me.
Leon,Male,It's my lucky day.
Leon,Male,"Oh, nice."
Leon,Male,You're shitting me!
Leon,Male,You've gotta be kidding me!
Leon,Male,"Oh, sorry!"
Leon,Male,Huh?
Leon,Male,Where's everyone going? Bingo?
Hunnigan,Female,Roost to Condor One. I've identified a route to the lake. Look for a large windmill. There's a path on the far side of it.
Leon,Male,Windmill. Copy that.
Hunnigan,Female,And be careful. Roost out.
Leon,Male,These people are sick.
Leon,Male,There it is.
Leon,Male,Gotta fix everything myself.
Leon,Male,God damn.
Leon,Male,Shit!
Leon,Male,This the place?
Leon,Male,What's that noise?
Man,Male,"That hurts, you know?"
Leon,Male,Seemed like you really wanted to talk.
Man,Male,"How observant, señor. Now, say—you got a smoke?"
Leon,Male,"You know, those things will kill you."
Man,Male,"Oh, well, maybe just untie me then?"
Man,Male,¡Joder! (Fuck!) Not this guy.
Leon,Male,"Who are you? OK, stop right there!"
Monk,,Sacrificial lamb. You will receive our most sacred body. It begins now.
Leon,Male,"Oh, what the fuck?"
Man,Male,"Hey, stop it! Oye, Yanqui (Yankee), got a name?"
Leon,Male,Leon.
Man,Male,"Quiet type, eh? I'm Luis Serra. And guess—you, me—picked the wrong spot to vacation, eh?"
Luis,Male,"Hey, stop it! You move, I move... and I'm beat up enough as it is! I can see your thinking. Bet you've been in spots like this before. My guess… you're here looking for someone? One more guess. Maybe... some missing señorita?"
Leon,Male,A young girl?
Leon,Male,Talk. Now.
Luis,Male,"All right. See, I heard chatter about moving a señorita."
Leon,Male,Moving her. Where?
Luis,Male,"Who knows? But later, saw some men dragging someone… to the old church."
Luis,Male,Mierda… Hanging with you? Not healthy—
Leon,Male,"Hey, we're not done here!"
Luis,Male,"Later, amigo!"
