Character,Gender,Line
Leon,Male,"1998... I'll never forget it. It was the year when these grisly murders occurred in the Arklay Mountains. Soon after, the news was out to the whole world revealing that it was the fault of a secret viral experiment conducted by the international pharmaceutical enterprise, Umbrella. The virus broke out in a nearby mountain community, Raccoon City. And hit the peaceful little town with a devastating blow crippling its very foundation. Not taking any chances, the President of the United States ordered a contingency plan - to sterilize Raccoon City. With the whole affair gone public, the United States government issued an indefinite suspension of business decree to Umbrella. Soon its stock prices crashed and for all intents and purposes Umbrella was finished. Six years had passed since that horrendous incident..."
Leon,Male,I received special training via a secret organization working under the direct control of the President. I was to assume the responsibility of protecting the new President's family.
First Cop,,Why am I the one who always gets the short end of the stick?
Second Cop,,"Yo, who are you really? Come on and tell us. You are a long way from home, cowboy. You have my sympathies."
Leon,Male,"Guess that's a local’s way of breaking the ice. Anyway, you know what this is all about. My assignment is to search for the President's missing daughter."
First Cop,,"What, all by yourself?"
Leon,Male,"I'm sure you boys didn't just tag along so we could sing Kumbiyah together at some Boy Scout bonfire. Then again, maybe you did."
Second Cop,,"Oh, you crazy American. It's an direct order from the chief himself. I tell you it's no picnic."
Leon,Male,I'm counting on you guys.
Leon,Male,"It was right before I was to take on my duties of protecting the President's daughter when she was abducted. That's the ultimate reason I'm in this lonely and rural part of Europe. According to our intelligence, there's reliable information of a sighting of a girl that looks very similar to the President's daughter. Apparently she's being withheld by some unidentified group of people. Who would have thought my first job would be a rescue mission?"
Second Cop,,"Ah, it's freezing. So cold all of a sudden."
Second Cop,,"Ah, must be my imagination."
Second Cop,,Sorry it took so long.
First Cop,,Just up ahead is the village.
Leon,Male,I'll go and have a look around.
Second Cop,,We'll stay and watch the car. Don't want to get any parking tickets.
Leon,Male,Right...parking tickets.
First Cop,,Good luck.
Leon,Male,"Geez, who are these guys?"
First Cop,,Did you say something?
Hunnigan,Female,"Leon, I hope you can hear me. I'm Ingrid Hunningan. I'll be your support on this mission."
Leon,Male,"Loud and clear. Somehow I thought you'd be a little older. So the subject's name's Ashley Graham, right?"
Hunnigan,Female,"That's right. She's the daughter of the President. So try and behave yourself, okay?"
Leon,Male,"Whoever this group is, they sure picked the wrong girl to kidnap."
Hunnigan,Female,I'll try to find more information on them from my end as well.
Leon,Male,Good. Talk to you later. Leon out.
Leon,Male,"Uh, excuse me. Sir?"
Leon,Male,I was wondering if you might recognize the girl in this photograph?
Don Esteban,Male,"Qué carajo haces aquí? Lárgate, cabrón! (What the hell are you doing here? Get out of here!)"
Leon,Male,Sorry to have bothered you.
Leon,Male,Freeze! I said freeze!
Leon,Male,Shit!
Hunnigan,Female,Is everything okay?
Leon,Male,There was a hostile local. I had no choice but to neutralize him. There are still others surrounding the area.
Hunnigan,Female,Get out of there and head toward the village. Take whatever measures necessary to save the subject.
Leon,Male,Understood.
Leon,Male,"Oh, no..."
Hunnigan,Female,Leon. How ya holding up?
Leon,Male,"Bad question, Hunningan."
Hunnigan,Female,Sorry to hear that...I'm sending you a Playing Manual. Hope you find it useful.
Leon,Male,I'll take a look at it. Thanks.
Leon,Male,Damn it!
Leon,Male,Who are these people?
Leon,Male,What are they planning?
Leon,Male,Great. A chainsaw.
Leon,Male,Shit!
Don Esteban,Male,Lord Saddler...
Leon,Male,Where's everyone going? Bingo?
Leon,Male,"Hunnigan, I have some bad news. I've confirmed the body of an officer. Something's happened to the people here."
Hunnigan,Female,"Leon, you need to get out of there. Look for a tower. Follow the trail near it."
Leon,Male,Got it.
Luis,Male,"A little rough, don't you think?"
Luis,Male,You're...not like them?
Leon,Male,No. You?
Luis,Male,"Okay. I have only one, very important question. You got a smoke?"
Leon,Male,Got gum.
Luis,Male,Perfect. The big cheese.
Leon,Male,What?
Occult Leader,,Feeble humans. Let us give you our power.
Occult Leader,,"Soon, you will become unable to resist this...intoxicating power."
Leon,Male,Hey. Hey. Wake up.
Luis,Male,"Ai yi yi. Crawl out of one hole, and into another."
Leon,Male,You want to tell me what's going on here?
Luis,Male,"Americano, si? Now what brings a bloke like you to this part of the world? Easy, whoever you are."
Leon,Male,"My name's Leon, I came here looking for this girl. Have you seen her?"
Luis,Male,"What, are you supposed to be a cop or something? Nah, you don't look the type."
Leon,Male,Maybe.
Luis,Male,"Okay, Let me guess. She's the President's daughter?"
Leon,Male,That's too good for a guess. Want to start explaining?
Luis,Male,"Psychic powers. Nah, just kidding with you, amigo."
Luis,Male,I overheard one of the villagers talking something about the President's daughter in the church.
