Character,Gender,Line
Jill,Female,"It all began as an ordinary day in September. An ordinary day in Raccoon City. A city controlled by Umbrella. No one dared to oppose them. And that lack of strength would ultimately lead to their destruction. I suppose they had to suffer the consequences for their actions. But there would be no forgiveness. If only they had the courage to fight. It’s true that once the wheels of justice begin to turn, nothing can stop them. Nothing. It was Raccoon City’s last chance. And my last chance. My last escape."
Helicopter pilot,,This is Chopper Delta. Prepare to drop off at Area E95072. Over.
Man,Male,What are they?! No!
Officer 1,,Blockade is ready. Awaiting orders. Over.
Radio,,All units proceed to Richmond and Victoria...
Soldier 1,,"All right, let’s do it."
Soldier 2,,"Go, go, go!"
Officer 2,,Fire!
Officer 3,,Come and get it!
Officer 4,,Son of a…
Officer 5,,Don’t give up!
Soldier 3,,Where are they?
Soldier 4,,Where did they come from?
Soldier 5,,Die!
Soldier 6,,You want some more?
Jill,Female,September Twenty-Eighth. Daylight. The monsters have overtaken the city. Somehow… I’m still alive…
Jill,Female,Okay. We’ve gotta get out of here.
Dario,Male,What? What do you think you’re talking about? I just lost my daughter out there! How dare you tell me to go back outside!
Jill,Female,I’m sorry about your daughter. But there isn’t going to be any rescue! We have to get out of here!
Dario,Male,No! I’m not going anywhere! I rather starve myself than be eaten by one of those undead monsters! Now leave me alone!
Dario,Male,Told you! I’m not leaving! Never! Just get away from me.
Brad,Male,Get away!
Jill,Female,"Brad, hang in there. Why isn’t someone doing something about this?"
Brad,Male,"I didn’t know you were still alive, Jill. The police aren’t trained for this kind of situation. What could they do? Listen, he’s coming for us. We’re both gonna die!"
Jill,Female,What are you saying?
Brad,Male,You’ll see. He’s after STARS members. There’s no escape.
Brad,Male,Jill!
Jill,Female,Brad!
Brad,Male,Jill! Help! No!
Jill,Female,No!
Jill,Female,Brad...?
Nemesis,Male,STARS.
Carlos,Male,"No. Come in, anyone. Our platoon is cut off. No survivors found. This is Carlos. Head… Towards… Immediately."
Jill,Female,What’s that?
Carlos,Male,"Calm down, lady. I’m no zombie. My name is Carlos, corporal of Umbrella’s Biohazard Countermeasure Force. What’s your name?"
Jill,Female,Jill. Did you just say you belong to Umbrella’s army?
Carlos,Male,"Yeah. We came all the way out here to save your civilians, but the mission went bad the minute we landed."
Jill,Female,No. How did he find me?
Jill,Female,This way!
Jill,Female,Wait. I have to ask you something.
Carlos,Male,I know. You wanna ask me out. All the foxy ladies have my accent. It drives them crazy.
Jill,Female,"What? Keep dreaming. Tell me, why did Umbrella send your team in?"
Carlos,Male,We’re here to rescue the civilians.
Jill,Female,Don’t lie to me! Umbrella is the reason why this whole mess began!
Carlos,Male,"Look, we’re just mercenaries. Hired hands. You really think the master would tell his dog why he has to retrieve the stick he just threw? If you want answers, you should talk to someone else. I am not with Umbrella."
Carlos,Male,"We have to finish this later. Believe it or not, we’re only here to rescue the civilians. If you can trust me, then help us! Think about it!"
Jill,Female,Over here!
Carlos,Male,Are you crazy?! You could’ve barbecued both of us!
Jill,Female,I need to ask you something. Why did Umbrella send your team here?
Carlos,Male,Our mission is to rescue the civilians.
Jill,Female,"How kind of you. Considering that Umbrella caused all this in the first place, those liars!"
Carlos,Male,"Look, we’re just mercenaries. Hired hands."
Carlos,Male,"No time for talking. If you can believe me, then join us. Think about it!"
Jill,Female,Hey.
Carlos,Male,What? Where am I?
Jill,Female,Relax. You’re fine.
Carlos,Male,"If you say so, but my head feels like it’s about to explode. Anyway, name’s Carlos. Glad to meet you, lady."
Jill,Female,Jill. Alpha Team. R.P.D. STARS Unit. Who do you represent?
Carlos,Male,"STARS? I see. Well, I’m a member of the Biohazard Countermeasure Force sent by Umbrella Corporation."
Jill,Female,Sent by Umbrella?
Carlos,Male,"Hey, don’t look at me like that! What did I say? Do you have a problem?"
Jill,Female,Oh no! It’s him!
Jill,Female,I need to ask you something. Why did Umbrella send your team here?
Carlos,Male,Our mission is to rescue the civilians.
Jill,Female,"How kind of you. Considering Umbrella caused all this in the first place, those liars!"
Carlos,Male,"Look, we’re just mercenaries. Hired hands. Do you really think the master would tell his dog why he would have to retrieve the stick he just threw?"
Carlos,Male,"No time for talking. If you can believe me, then join us. Think about it!"
Jill,Female,Come on!
