Character,Gender,Line
Chris,Male,"Alpha Team is flying around the forest zone, situated in northwest Raccoon City, where we're searching for the helicopter of our compatriots Bravo Team, who disappeared during the middle of our mission. [Background Talk: Wesker: Chris, you haven't found it? Chris: No, I haven't found it yet.]"
Chris,Male,"Bizarre murder cases have recently occured in Raccoon City. There are outlandish reports of families being attacked by a group of about 10 people. Victims were apparently eaten. Bravo Team went to the hideout of the group, and disappeared."
Jill,Female,"Look, Chris!"
Chris,Male,"It was Bravo Team's helicopter. Nobody was in it. But strangely, most of the equipment was still there. However, we soon discovered why."
Joseph,Male,Hey! Come here!
Jill,Female,Joseph!
Wesker,Male,Hwuh! Waah!
Chris,Male,No! Don't go!
Chris,Male,Jill! Run for that house!
Barry,Male,What is this?
Wesker,Male,"Wow, what a mansion!"
Jill,Female,"Captain Wesker, where's Chris?"
Wesker,Male,Stop it! Don't open that door!
Jill,Female,But Chris is--
Barry,Male,What is it?
Wesker,Male,"Maybe it's... Chris... (pauses) Now, Jill--Can you go?"
Barry,Male,"I'm going with you. Chris is our old partner, ya know."
Wesker,Male,Okay. Let me handle this.
Wesker,Male,Stay alert!
Barry,Male,A dining room...
Barry,Male,What? What is this?
Jill,Female,What is it?
Barry,Male,"Blood. (pauses) Jill, see if you can find any other clues. I'll be examining this. (looks down) Hope this is not Chris's blood..."
Jill,Female,Barry?
Barry,Male,What is it?
Jill,Female,Watch out! It's a monster! (begins to back away from the approaching zombie)
Barry,Male,Let me take care of this.
Barry,Male,What IS it?
Jill,Female,"Kenneth was killed too; maybe by this creature... (pause) Anyway, let's report this to Wesker."
Wesker,Male,Investigate if you hear any gunfire.
Barry,Male,Lost courage already? It's not like you... (returns to crouching)
Jill,Female,Who is it?
Barry,Male,"Hey, you, stop! (pauses as the zombie gets closer to Jill) Run, Jill! He's insane!"
Barry,Male,What the hell?
Jill,Female,Let's report this to Wesker!
Barry,Male,"Wesker! (pause) Help me look for him, Jill. And don't leave this hall for the time being."
Barry,Male,"Find anything, Jill?"
Jill,Female,(shaking her head) Nothing. What is this all about? I can't figure it out at all.
Barry,Male,"Beats me, too."
Jill,Female,Now it's Wesker's time to disappear! I don't know what's going on.
Barry,Male,"Well, it can't be helped. Let's search for him seperately. (Jill nods) I'll check the dining room again."
Jill,Female,Okay. I'll try the door on the opposite side.
Barry,Male,"This mansion is gigantic. We could get into trouble if we get lost. We should start from the first floor, okay? And... Jill, here is a lockpick. It might be handy if you, the master of unlocking, take it with you. (Jill nods)"
Jill,Female,Thanks. Maybe I'll need it.
Barry,Male,"Listen, if something happens, let's meet up in this hall."
Barry,Male,"This time, I'll be there."
Jill,Female,"Hey, what's going on?"
Barry,Male,"Jill? Is that you, Jill? What happened?"
Jill,Female,"(frightened) Barry? Help me, please. The door won't open! (pause) Quick!"
Barry,Male,"Stay away from the door, Jill. I'm gonna kick this door down!"
Barry,Male,Hurry! This way!
Jill,Female,"Oh, Barry!"
Barry,Male,That was too close. You were almost a Jill sandwich.
Jill,Female,"(giggles) You're right! Barry, thanks for saving my life. (pause) But, Barry, didn't you say you were going back to the dining room to do some research? Why on earth are you here?"
Barry,Male,"Uh, I just had something I wanted to check. Now, let's get back to searching for the lost captain and Chris, shall we?"
Jill,Female,"Thank you, Barry."
Barry,Male,"Yeah, yeah..."
Barry,Male,Jill! (nervous chuckle) Don't scare me.
Jill,Female,"That's what I was going to say. Aren't you supposed to be going over the first floor, Barry?"
Barry,Male,"Yeah, you're right. But just take a look at THIS!"
Barry,Male,It's Forest. Oh my God...
Jill,Female,(turns away) It's awful!
Barry,Male,"I'm going to find out what caused Forest's death. (kneels) It looks like he was killed by a crow, or something... Can you look around the first floor, Jill?"
Jill,Female,(pauses) Okay.
Barry,Male,"Hey, Jill... This must've been Forest's. You don't have a weapon; take this with you."
Barry,Male,I can't believe...
Jill,Female,Barry!
Barry,Male,Jill! What's going on? Any clues?
Jill,Female,"No, but something's wrong with this house."
Barry,Male,"Whoah! This hall is dangerous. Maybe it's better to secure our escape route first. There must be a back door somewhere... Let's try to find *it* first, shall we?"
Jill,Female,"(nods) Okay, let's separate again. (turns)"
Barry,Male,Just a moment! I've found something.
Jill,Female,What is it?
Barry,Male,"It's a weapon; it's really powerful, especially against living things. Better take it with you."
Jill,Female,"But how about you, Barry?"
Barry,Male,(raises his Colt Python) I have THIS!
Jill,Female,Thank you. I'll take this then. (walks over and collects the Acid Rounds)
Jill,Female,Barry!
Barry,Male,Jill! What's going on? Any clues?
Jill,Female,"No, but something's wrong with this house."
Barry,Male,"Whoah! This hall is dangerous. Maybe it's better to secure our escape route first. There must be a back door somewhere... Let's try to find *it* first, shall we?"
Jill,Female,"(nods) Okay, let's separate again. (turns)"
Barry,Male,Just a moment! I've found something.
Jill,Female,What is it?
Barry,Male,"It's a weapon; it's really powerful, especially against living things. Better take it with you."
Jill,Female,"But how about you, Barry?"
Barry,Male,(raises his Colt Python) I have THIS!
Jill,Female,Thank you. I'll take this then. (walks over and collects the Acid Rounds)
Barry,Male,"Is that you, Jill?"
Jill,Female,What's going on? How come you look so scared?
Barry,Male,Look at this. (holds out his hand)
Barry,Male,What do you think of it?
Jill,Female,I've been thinking something is wrong with this house.
Barry,Male,Right.
Jill,Female,Hey... What is this? There's a page missing.
Barry,Male,"Yeah, I thought about that too. Perhaps that was the most important part."
Jill,Female,Richard! What happened? (kneels down by Richard's side)
Richard,Male,Oh Jill... This house... is... dangerous... There are... terrible demons... Ouch!
Jill,Female,You're wounded! What kind of demon attacked you?
Richard,Male,It was a huge... snake... and also... poisonous. Ugh...
Jill,Female,"Poisonous? Oh no... Richard, hold on!"
Richard,Male,"There is Serum... (pause) Oh no, I should've brought some with me."
Jill,Female,No problem. I'll go and get it.
Richard,Male,Thanks.
Richard,Male,Be careful... (Jill nods.)
Jill,Female,"Here's the Serum. Richard, hold on! I'll give you a shot now."
Richard,Male,"Jill, here's... my radio... you should... keep it... I'm..."
Jill,Female,No! Richard!
Richard,Male,Jill... be careful... Uhh... Uh...
Jill,Female,(weakly) Am I poisoned? Give me the Serum...
Jill,Female,Am I poisoned? Give me the Serum...
Jill,Female,(yawns) (sleepily) Barry..? (awake) Barry?
Brad,Male,"This is Brad. STARS Alpha Team, please respond! What the hell? Is nobody out there?"
Jill,Female,(into radio) Brad. This is Jill.
Brad,Male,This is Brad... STARS Alpha Team... Bravo Team... It doesn' matter. Anybody... Answer me... This is Brad(fades out)
Jill,Female,Brad? Brad?
Barry,Male,It can't be true! I've been told a different story.
Barry,Male,But it's not necessary for you to destroy STARS!
Barry,Male,What about my family?!?
Barry,Male,So everything depends on me... Huh?
Barry,Male,It can't be true! I've been told a different story.
Wesker,Male,"Hey, there is nothing we can do. The situation has changed."
Barry,Male,But it's not necessary for you to destroy STARS!
Wesker,Male,It's not my intention! It's Umbrella's. I can't help it.
Barry,Male,What about my family?!?
Wesker,Male,I will guarantee their safety.
Barry,Male,So everything depends on me... Huh?
Barry,Male,"Hi, Jill."
Jill,Female,"Uh, hi, Barry. I, I heard someone talking."
Barry,Male,So you heard it too... I think I'm getting old. It seems that talking to myself is becoming a habit.
Jill,Female,"Talking to yourself? Barry, something must have happened to you. Am I wrong? You sound strange."
Barry,Male,"Well, it seems I made you worry. But don't. Maybe I have been a nervous wreck since all of these strange things started happening. Well, I think I'll go out and get some fresh air for a change."
Barry,Male,"I told ya, don't worry... I'll just go and get some fresh air... and be eaten by a monster!"
Barry,Male,What the hell is this?
Jill,Female,Barry!
Barry,Male,Jill!
Jill,Female,You saved me!
Barry,Male,Yeah...
Jill,Female,"That was close! Thanks, Barry."
Barry,Male,"Don't mention it. What a monster! I can't believe--What the hell is this place, anyway?"
Barry,Male,"Okay, I'm gonna stay in the Soldier's Area and take a look around. Though I'm sure there are still things in that other mansion as well. Anyway, let's start searching seperately."
Jill,Female,Okay.
Jill,Female,Wesker!
Wesker,Male,Jill... so you're safe.
Jill,Female,That's what I was going to say. Where on earth have you been? You disappeared from the hall all of a sudden.
Wesker,Male,"I'm sorry, but I have my reasons. Perhaps you guys have met them? It was all I could do to protect myself against those... strange creatures."
Jill,Female,"Is that right? Anyway, it's good to see you're safe."
Wesker,Male,"Jill, our first priority is to get out of here."
Jill,Female,"Yes, you're right."
