Character,Gender,Line
Mia,Female,"Hey baby! I just wanted to send a quick hello and I love you. I'm gonna be coming home soon! Yay! I cannot wait to be done with this babysitting job... and come home to my loving husband. I miss you. I gotta get back to work. I love you, Ethan. I miss you so much. I'm sending tons of kisses. Bye baby!"
Mia,Female,"Ethan… You were right. I did lie to you. I shouldn't have, but... All I can say is that if you get this... Stay away."
Ethan,Male,"Hey, it's, uh… it's Ethan."
Ethan,Male,"Yeah, yeah. No, I'm good, I'm good. It's Mia. She's not dead, she's alive. She's back."
Ethan,Male,"I don't know. I don't know how, but she's back, she's back somehow. Maybe it's a prank. She wants me to come and get her."
Ethan,Male,"Dulvey. Dulvey, Louisiana."
Ethan,Male,"I know, I know. But what if it is her? I have to find out what happened."
Ethan,Male,This is the place.
Ethan,Male,Damn!
Pete,Male,Boo! Where did you find this guy?
Andre,Male,"Give me a break, Pete."
Pete,Male,"Hey! I only work with professionals. Speaking of which, make sure the sound is right this time. I don't want a repeat of Amarillo."
Andre,Male,That was two fucking years ago.
Pete,Male,I don't do ADR. This new guy? I'm not feeling it.
Andre,Male,Again?
Pete,Male,"Just don't be surprised if we have to make change. New plan. We do a walkthrough of the inside first, shoot the intro."
Andre,Male,"Just like we always do. Just try to say the show's name this time, OK?"
Pete,Male,"No problem. “Tonight on Sewer Gators, another worthless fucking shithole.” Happy?"
Andre,Male,Ecstatic.
Pete,Male,"Are we rolling? Alright, let's go."
Andre,Male,Get outta the way.
Pete,Male,It's locked.
Andre,Male,"After you. So, why are we in hell this time? Do you ever prep?"
Pete,Male,"What's to prep? Shitty house. Spooky sounds. Ooh, is it haunted? Fuck me. I was an anchor, you know."
Andre,Male,"Weekend sub, Pete. Not anchor."
Pete,Male,What's that?
Andre,Male,Nothing.
Pete,Male,"What's the story, Andre?"
Andre,Male,Abandoned farm house. Missing family. The usual.
Pete,Male,How long did you say this place had been abandoned?
Andre,Male,Three years.
Pete,Male,"Clancy, get a shot of this. This'd make a great cutaway. So, uh, Hillbilly Joe and his family go missing..."
Andre,Male,"Not hillbillies. The Bakers. Jack and Marguerite Baker. And they were quiet, not backward. Lot of bad rumors about their son, Lucas. Bad seed, apparently."
Pete,Male,"Ah, shit! I knew I shouldn't have worn my good shoes. Oh, shit. Glad I had my shots. Although, this'd make a great backdrop. Andre, what do you think? Andre. Andre! Clancy, you see where Andre went? Where is he? Un-fucking-believable. This is the last time I work with that guy. I mean producers, they come and go, but a good cameraman like you, Clancy? You stick with me."
Pete,Male,"What the fuck was that? Did you hear that? Andre? Where the fuck is he? Andre, where are you, man?"
Pete,Male,"What the hell? You gotta be fucking kidding me. Alright, new deal. W-We find Andre and we go. I mean, fuck this show."
Pete,Male,"You first. Need a nice hero shot of me coming down the ladder. So, uh, you first."
Pete,Male,What do you see? What is it?
Ethan,Male,Looks like the owners.
Ethan,Male,Mia! Thank god I found you. It's me. It's Ethan!
Mia,Female,Ethan? Ethan!
Ethan,Male,Are you alright?
Mia,Female,You shouldn't be here.
Ethan,Male,What do you mean? You contacted me.
Mia,Female,"No, no, I wouldn't. Did I? Did anyone see you? Did he see you?"
Ethan,Male,He? Who else is here? What's going on?
Mia,Female,Daddy's coming. We need to go.
Ethan,Male,Daddy?
Mia,Female,We need to go… now!
Ethan,Male,Where are you taking me?
Mia,Female,Someplace safe.
Ethan,Male,Are you gonna tell me what's going on? You've been gone for three years.
Mia,Female,Three years? Has it really been three years?
